Year,Ages,N_Initial_Age,AgeSize_Mean,AgeSize_Std,Size_Classes,N_Initial_Class,ClassSize_Mean,ClassSize_Std,N_GrowthBack,Capture_Back,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort_Age,Deaths_AfterEmiMort_Size,N_GrowthOut,Capture_Out,N_BeforePacking_AddAge0s,PackingDeaths_Immigration,N_Immigration,Deaths_AfterImmiMort_Age,Deaths_AfterImmiMort_Size
28,0|1|2|3|4|5|6|,3861|0|0|2|0|0|94|,50.10881253008874|nan|nan|331.33733211733215|nan|nan|354.9734656955298|,9.78244388667333|nan|nan|0.0|nan|nan|0.2558670572617383|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,3840|21|0|0|0|0|96|,49.95675413151447|77.91377684081324|nan|nan|nan|nan|354.4810462459841|,9.587978335582786|2.674523013863979|nan|nan|nan|nan|3.385338831937205|,0|0|0|3861|0|0|96|,0|0|0|0|0|0|0|,0|0|0|3850|0|0|0|,0|0|0|11|0|0|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|11|0|96|,0|0|0|0|0|0|0|,6113|32|0|0|11|0|96|,0|0|0|0|0|0|0|,6099|46|0|0|11|0|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
29,0|1|2|3|4|5|6|,6145|11|0|0|2|0|94|,50.19818164843193|248.95127997520797|nan|nan|343.8225471436087|nan|354.98746608206807|,10.10666124446937|2.842170943040401e-14|nan|nan|0.0|nan|0.12086303979871298|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6099|46|0|0|11|0|96|,49.98792548109486|78.07540696557882|nan|nan|248.95127997520797|nan|354.7548636041836|,9.84661026503038|2.6682842515359315|nan|nan|2.842170943040401e-14|nan|1.59912083390247|,0|0|0|6145|0|11|96|,0|0|0|0|0|0|0|,0|0|0|6145|0|0|0|,0|0|0|0|0|11|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|11|96|,0|0|0|0|0|0|0|,6199|30|0|0|0|11|96|,0|0|0|0|0|0|0|,6191|38|0|0|0|11|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
30,0|1|2|3|4|5|6|,6229|0|11|0|0|2|94|,49.8965350694645|nan|304.906131699292|nan|nan|349.7201451258012|354.99407939639417|,10.070688928968753|nan|0.0|nan|nan|0.0|0.05709165746352216|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6191|38|0|0|0|11|96|,49.72276933741406|78.20663104641979|nan|nan|nan|304.906131699292|354.8842057657568|,9.851376297247077|2.620334581092178|nan|nan|nan|0.0|0.7553711957268506|,0|0|0|6229|0|11|96|,0|0|0|0|0|0|0|,0|0|0|6228|0|0|0|,0|0|0|1|0|11|96|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|1|0|107|,0|0|0|0|0|0|0|,6677|47|0|0|1|0|107|,0|0|0|0|0|0|0|,6673|51|0|0|1|0|107|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
31,0|1|2|3|4|5|6|,6724|1|0|11|0|0|96|,50.18169276270322|248.951279975208|nan|331.33733211733215|nan|nan|354.94530267674327|,10.104658354065263|0.0|nan|0.0|nan|nan|0.35681208776535056|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6673|51|0|0|1|0|107|,49.96734754612292|78.22729335565225|nan|nan|248.951279975208|nan|352.5183150491402|,9.837119667858262|2.7587846909798857|nan|nan|0.0|nan|7.177758002174396|,0|0|0|6724|0|1|107|,0|0|0|0|0|0|0|,0|0|0|6724|0|0|0|,0|0|0|0|0|1|107|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|1|107|,0|0|0|0|0|0|0|,5809|44|0|0|0|1|107|,0|0|0|0|0|0|0|,5815|38|0|0|0|1|107|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
32,0|1|2|3|4|5|6|,5853|0|1|0|11|0|96|,50.22773423830035|nan|304.906131699292|nan|343.82254714360863|nan|354.97416281396903|,10.045187537777519|nan|0.0|nan|5.684341886080802e-14|nan|0.16854609587403763|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5815|38|0|0|0|1|107|,50.049208846084014|77.54681728403847|nan|nan|nan|304.906131699292|353.82773503477307|,9.828862357132925|2.7560605755981653|nan|nan|nan|0.0|3.3905328038963436|,0|0|0|5853|0|1|107|,0|0|0|0|0|0|0|,0|0|0|5853|0|0|0|,0|0|0|0|0|1|107|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|108|,0|0|0|0|0|0|0|,4857|32|0|0|0|0|108|,0|0|0|0|0|0|0|,4860|29|0|0|0|0|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
33,0|1|2|3|4|5|6|,4889|0|0|1|0|11|96|,50.0104663870523|nan|nan|331.33733211733215|nan|349.72014512580114|354.987795377502|,9.957943123770116|nan|nan|0.0|nan|5.684341886080802e-14|0.07961553828598372|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,4860|29|0|0|0|0|108|,49.842795575036305|78.10978178007689|nan|nan|nan|nan|354.2322896735309|,9.743918900780384|3.3962271467957503|nan|nan|nan|nan|2.7276656251645908|,0|0|0|4889|0|0|108|,0|0|0|0|0|0|0|,0|0|0|4888|0|0|0|,0|0|0|1|0|0|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|1|0|108|,0|0|0|0|0|0|0|,6761|37|0|0|1|0|108|,0|0|0|0|0|0|0|,6746|52|0|0|1|0|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
34,0|1|2|3|4|5|6|,6798|1|0|0|1|0|107|,50.12815534288988|248.951279975208|nan|nan|343.8225471436087|nan|354.7384323305725|,9.919331759062649|0.0|nan|nan|0.0|nan|0.7565301275219015|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6746|52|0|0|1|0|108|,49.91207240790094|78.1607607166473|nan|nan|248.951279975208|nan|354.6373593195822|,9.64202907652316|3.1972971511830663|nan|nan|0.0|nan|1.28845800838916|,0|0|0|6798|0|1|108|,0|0|0|0|0|0|0|,0|0|0|6798|0|0|0|,0|0|0|0|0|1|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|1|108|,0|0|0|0|0|0|0|,8496|41|0|0|0|1|108|,0|0|0|0|0|0|0|,8474|63|0|0|0|1|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
35,0|1|2|3|4|5|6|,8537|0|1|0|0|1|107|,49.878392500558434|nan|304.906131699292|nan|nan|349.7201451258012|354.8764441816839|,10.138714315603108|nan|0.0|nan|nan|0.0|0.3573595283822231|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,8474|63|0|0|0|1|108|,49.66902427216986|78.04008087142793|nan|nan|nan|304.906131699292|354.82870067190737|,9.877220250048655|2.7995863121862548|nan|nan|nan|0.0|0.6086244677743318|,0|0|0|8537|0|1|108|,0|0|0|0|0|0|0|,0|0|0|8537|0|0|0|,0|0|0|0|0|1|108|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|109|,0|0|0|0|0|0|0|,5794|44|0|0|0|0|109|,0|0|0|0|0|0|0|,5810|28|0|0|0|0|109|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
36,0|1|2|3|4|5|6|,5838|0|0|1|0|0|108|,49.840631268172|nan|nan|331.33733211733215|nan|nan|354.919083926902|,9.95067044655647|nan|nan|0.0|nan|nan|0.28749384175640963|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,5810|28|0|0|0|0|109|,49.70565178124669|77.84887480517285|nan|nan|nan|nan|354.7027375800252|,9.78080304684451|2.501683960593042|nan|nan|nan|nan|2.2664762391126163|,0|0|0|5838|0|0|109|,0|0|0|0|0|0|0|,0|0|0|5838|0|0|0|,0|0|0|0|0|0|109|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|109|,0|0|0|0|0|0|0|,6169|48|0|0|0|0|109|,0|0|0|0|0|0|0|,6187|30|0|0|0|0|109|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
37,0|1|2|3|4|5|6|,6217|0|0|0|1|0|108|,49.94564701395592|nan|nan|nan|343.8225471436087|nan|354.96177795348945|,9.848140517611096|nan|nan|nan|0.0|nan|0.13580247496474407|,50.0|100.0|150.0|200.0|250.0|300.0|350.0|,6187|30|0|0|0|0|109|,49.80979874525336|77.96208829604895|nan|nan|nan|nan|354.85958317541713|,9.674657566939283|2.5971010557193286|nan|nan|nan|nan|1.0706075679390445|,0|0|0|6217|0|0|109|,0|0|0|0|0|0|0|,0|0|0|6217|0|0|0|,0|0|0|0|0|0|109|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|109|,0|0|0|0|0|0|0|,5818|59|0|0|0|0|109|,0|0|0|0|0|0|0|,5844|33|0|0|0|0|109|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|
