PatchID,X,Y
222,965738.0735,4863479.063
223,964763.8757,4865617.108
224,964342.8116,4866362.008
225,963926.6169,4867936.097
226,962142.7849,4870899.47
227,962039.752,4873275.652
228,960468.1426,4875017.526
229,958838.2389,4877949.639
230,957587.2856,4878932.356
231,956014.3477,4879252.91
232,953430.9889,4881291.17
233,951666.9341,4880413.527
234,947626.979,4877064.071
235,945431.6802,4877563.592
236,941952.7364,4878882.82
237,939906.2195,4877755.454
238,938597.6564,4876708.779
239,936075.2081,4875894.301
240,934438.8283,4877916.598
241,932131.8988,4876564.007
242,930830.2747,4875753.487
243,927180.4215,4874198.123
244,925734.8178,4870923.097
245,923138.6539,4873538.774
246,918190.0461,4871985.976
