Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
42,182,29,123.91513792795531,80.5671159457594,17,12,0,3,2,0,59,43,59,0,0,0,0,32,10,22,0,0,0,0,46,14,32,10,29,12,0,1,4,12,4,309,0.8444029216918636,0.914614121511
43,137,26,120.50670112196195,83.95035740950291,13,13,0,3,2,0,135,99,135,0,0,0,0,22,7,15,0,0,0,3,62,19,43,6,26,9,0,0,5,9,5,301,0.8764088475626937,0.910256410256
44,205,25,174.376739678461,40.05012910091172,9,16,0,1,2,0,32,24,32,0,0,0,0,23,7,16,0,0,0,0,50,15,35,12,42,21,1,0,3,21,3,325,0.8867428571428573,0.906666666667
45,198,25,151.59536848291074,66.58987071826772,8,17,0,1,2,0,0,0,0,0,0,0,0,29,9,20,0,0,0,0,24,7,17,15,23,14,0,0,6,14,6,324,0.889752380952381,0.91619047619
46,36,62,104.72343231821525,67.64889540553244,34,28,0,1,2,0,0,0,0,0,0,0,50,4,1,3,0,0,0,38,0,0,0,1,0,17,2,0,8,17,8,353,0.8863720826519996,0.923963133641
47,237,30,118.58009510995812,72.24186107726146,15,15,0,1,2,0,73,53,73,0,0,0,0,37,11,26,0,0,0,0,56,17,39,16,35,13,0,0,4,13,4,320,0.8812433862433863,0.909523809524
48,251,17,132.81122692994768,81.34345612782404,13,4,0,2,1,0,89,65,89,0,0,0,0,28,8,20,0,0,0,0,60,18,42,20,35,7,1,0,3,7,3,258,0.8492338111715272,0.893557422969
49,115,2,190.89405757170135,56.43473875609085,1,1,0,1,0,0,36,26,36,0,0,0,1,16,5,11,0,0,0,40,17,5,12,16,7,1,0,0,1,1,1,76,0.6964285714285714,0.857142857143
50,133,20,162.1118560906578,44.8565861550299,10,10,0,1,0,0,86,63,86,0,0,0,0,16,5,11,0,0,0,9,44,13,31,12,21,15,0,0,5,15,5,295,0.8775000000000002,0.895238095238
Totals,43043,1928,NA,NA,940,988,99,78,2325,1514,2325,0,0,0,268,1660,114,1546,0,0,0,320,2037,180,1857,566,1194,673,25,25,320,673,320,398,0.9026000980465705,0.907651649872
