Subpopulation,K,N_Initial,PopSizes_Mean,PopSizes_Std,ToTFemales,ToTMales,ToTYYMales,BreedFemales,BreedMales,BreedYYMales,Births,EggDeaths,MyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PackingDeaths_Emigration,N_AfterEmigration,Deaths_AfterEmiMort,N_AfterEmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PackingDeaths_Immigration,N_AfterImmigration,Deaths_AfterImmiMort,N_AfterImmiMortality,SubpopEmigration,SubpopImmigration,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,Alleles,He,Ho
11,251,33,161.23734914951447,84.67112114888884,18,15,0,3,4,0,75,48,75,0,0,0,0,29,0,29,0,0,0,0,54,0,54,13,26,14,2,0,9,14,9,255,0.8220516856880495,0.849927849928
12,153,50,126.84700547401891,69.0951470961696,22,28,0,1,3,0,10,6,10,0,0,0,0,42,0,42,0,0,0,0,28,0,28,10,23,23,0,0,8,23,8,259,0.8187523809523807,0.855238095238
13,166,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0
14,152,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
15,102,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0.0
16,194,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0.0,0.0
17,25,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
18,80,0,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0.0,0.0
19,371,82,126.97328925591852,78.59770101070487,39,43,0,3,5,0,50,32,50,0,0,0,0,62,0,62,0,0,0,0,55,0,55,13,35,28,2,0,16,28,16,282,0.8220199144500153,0.844947735192
20,487,66,101.51671759013901,70.54989929698165,32,34,0,2,1,0,41,26,41,0,0,0,0,63,0,63,0,0,0,0,46,0,46,12,30,17,0,1,7,17,7,258,0.8085399449035814,0.852813852814
21,157,33,179.67827829965378,48.894916330608254,10,23,0,1,3,0,0,0,0,0,0,0,5,20,0,20,0,0,0,6,24,0,24,10,24,18,1,0,14,18,14,251,0.8336612882067429,0.871572871573
